               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.084879,            0.014624,            0.017501,              0.3674,              0.2668,             0.02935,            0.006692,            0.093744,            0.011841,            0.020638,            0.008878,            0.008878,            0.008878
                  36,            0.084167,            0.013832,            0.017624,              0.3674,              0.2668,             0.02935,            0.006692,            0.093744,            0.011841,            0.020638,            0.008845,            0.008845,            0.008845
                  37,            0.077166,            0.015204,            0.017304,             0.57111,             0.31989,             0.25371,            0.064549,            0.071839,            0.014675,            0.018267,            0.008812,            0.008812,            0.008812
                  38,            0.074483,            0.014217,            0.019907,             0.63696,              0.2909,             0.22088,            0.051892,             0.08048,            0.013384,            0.016081,            0.008779,            0.008779,            0.008779
                  39,            0.071792,            0.016466,            0.013947,             0.77308,             0.13114,             0.10145,            0.030669,            0.095473,            0.012002,             0.01645,            0.008746,            0.008746,            0.008746
                  40,            0.087717,            0.012193,            0.014568,             0.77308,             0.13114,             0.10145,            0.030669,            0.095473,            0.012002,             0.01645,            0.008713,            0.008713,            0.008713
                  41,            0.077194,            0.012457,            0.012732,             0.43863,              0.3629,             0.15293,            0.034801,             0.08774,            0.012589,            0.016287,             0.00868,             0.00868,             0.00868
                  42,            0.073913,             0.01654,            0.015169,             0.66908,             0.34217,             0.23857,            0.094628,            0.090653,            0.011531,            0.014685,            0.008647,            0.008647,            0.008647
                  43,            0.077492,            0.015438,            0.013657,             0.59266,             0.29839,             0.23873,            0.071949,            0.082865,             0.01258,            0.012776,            0.008614,            0.008614,            0.008614
                  44,            0.075206,            0.015525,            0.012844,             0.59266,             0.29839,             0.23873,            0.071949,            0.082865,             0.01258,            0.012776,            0.008581,            0.008581,            0.008581
                  45,            0.068964,            0.018008,            0.017986,             0.70712,             0.27621,              0.2894,            0.084466,            0.073008,            0.013987,            0.012592,            0.008548,            0.008548,            0.008548
                  46,            0.072589,            0.017426,            0.014936,             0.47292,             0.30101,             0.14444,            0.055368,             0.09106,            0.011219,            0.012633,            0.008515,            0.008515,            0.008515
                  47,             0.07581,            0.016444,            0.014638,             0.56167,             0.35566,             0.22169,            0.075584,            0.077802,            0.012606,            0.012151,            0.008482,            0.008482,            0.008482
