               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027009,           0.0074706,             0.05819,             0.84236,             0.17503,             0.20243,             0.14904,            0.020633,           0.0068468,            0.056052,            0.008845,            0.008845,            0.008845
                  37,            0.027409,           0.0075042,            0.057418,              0.6717,             0.25876,             0.20943,              0.1504,            0.020167,           0.0065286,            0.055723,            0.008812,            0.008812,            0.008812
                  38,            0.027362,           0.0075064,            0.057149,              0.6475,             0.26389,             0.21034,              0.1529,            0.019926,           0.0066757,            0.055012,            0.008779,            0.008779,            0.008779
                  39,            0.026877,           0.0074332,            0.056415,             0.66366,             0.26904,             0.21883,             0.16483,            0.019967,            0.006622,            0.054283,            0.008746,            0.008746,            0.008746
                  40,            0.026507,           0.0076048,            0.057251,             0.72733,             0.26783,             0.23443,             0.16503,            0.020468,           0.0066457,            0.053917,            0.008713,            0.008713,            0.008713
                  41,            0.025869,           0.0070923,            0.055294,             0.73621,             0.27272,              0.2444,             0.18289,            0.020406,           0.0067054,             0.05311,             0.00868,             0.00868,             0.00868
                  42,            0.026315,           0.0072927,            0.055082,             0.75824,             0.26189,             0.24802,             0.18753,            0.020093,           0.0065645,             0.05298,            0.008647,            0.008647,            0.008647
                  43,            0.025433,           0.0075425,            0.054684,             0.77305,             0.26018,             0.25187,             0.18662,            0.020276,           0.0064858,            0.052281,            0.008614,            0.008614,            0.008614
                  44,            0.025547,           0.0072597,            0.053016,             0.76706,             0.25272,             0.25898,             0.19894,            0.019322,           0.0065684,            0.051981,            0.008581,            0.008581,            0.008581
                  45,            0.025744,           0.0071236,            0.054497,             0.70619,             0.27979,             0.26455,             0.20545,            0.019715,           0.0064816,            0.051638,            0.008548,            0.008548,            0.008548
                  46,            0.025972,            0.007114,            0.052705,             0.73758,             0.28244,             0.27403,             0.19227,            0.019874,           0.0064943,            0.050992,            0.008515,            0.008515,            0.008515
                  47,            0.025157,           0.0072954,            0.051767,             0.74409,             0.29482,             0.27193,             0.20648,            0.019894,           0.0064278,            0.050308,            0.008482,            0.008482,            0.008482
                  48,            0.025287,           0.0068932,            0.050284,             0.73696,             0.29846,             0.27745,             0.19921,            0.019409,           0.0063604,            0.049805,            0.008449,            0.008449,            0.008449
                  49,            0.025191,           0.0071555,            0.052524,             0.74526,             0.29735,             0.28993,             0.22269,            0.019509,           0.0063459,              0.0496,            0.008416,            0.008416,            0.008416
                  50,            0.023802,           0.0067064,             0.05051,             0.70828,             0.32096,             0.28907,             0.22403,            0.019365,           0.0063496,            0.049234,            0.008383,            0.008383,            0.008383
                  51,            0.024723,           0.0067858,            0.050425,             0.67299,             0.32195,             0.30313,             0.23658,            0.019057,           0.0062851,            0.048619,             0.00835,             0.00835,             0.00835
                  52,            0.025355,           0.0073056,            0.050471,             0.67173,             0.33537,             0.30208,             0.23322,            0.018347,            0.006281,            0.048449,            0.008317,            0.008317,            0.008317
                  53,            0.025096,           0.0071665,            0.049526,             0.66993,             0.33517,             0.31322,             0.23385,            0.018492,           0.0062278,            0.047873,            0.008284,            0.008284,            0.008284
                  54,            0.025088,           0.0069828,            0.049775,             0.69942,             0.34141,             0.31893,             0.24739,            0.018228,            0.006106,            0.047158,            0.008251,            0.008251,            0.008251
                  55,            0.025071,           0.0069982,             0.04945,              0.7055,             0.34444,             0.32481,             0.24781,            0.018197,           0.0063065,            0.046594,            0.008218,            0.008218,            0.008218
                  56,            0.024839,           0.0069248,            0.049617,             0.68841,             0.34749,             0.33271,             0.25787,            0.018304,           0.0061568,            0.045909,            0.008185,            0.008185,            0.008185
                  57,            0.024743,            0.006832,            0.047958,              0.7127,             0.35915,             0.33773,             0.26379,            0.018613,           0.0062976,            0.045363,            0.008152,            0.008152,            0.008152
                  58,            0.023795,           0.0067027,            0.047727,              0.6646,             0.39016,             0.35028,             0.26648,            0.019187,           0.0062548,            0.045011,            0.008119,            0.008119,            0.008119
                  59,            0.023669,           0.0069246,            0.046866,             0.68932,             0.38323,             0.35323,             0.26004,            0.020272,           0.0062749,            0.044461,            0.008086,            0.008086,            0.008086
                  60,            0.024676,           0.0069476,            0.045789,             0.69618,             0.38871,              0.3704,             0.28167,            0.017919,           0.0061095,            0.043722,            0.008053,            0.008053,            0.008053
                  61,            0.024782,           0.0066352,            0.045322,             0.70006,               0.399,             0.38585,             0.30042,            0.019096,           0.0063458,            0.043316,             0.00802,             0.00802,             0.00802
                  62,            0.024644,           0.0067808,            0.046323,             0.69328,             0.42342,             0.38712,             0.30393,            0.018035,           0.0059259,            0.043122,            0.007987,            0.007987,            0.007987
                  63,            0.024349,           0.0068837,            0.044425,             0.68877,              0.4052,             0.38487,             0.30368,             0.01778,           0.0061706,            0.042417,            0.007954,            0.007954,            0.007954
