               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12322,            0.018995,            0.097195,                   0,                   0,                   0,                   0,             0.10125,            0.015397,            0.089768,            0.070526,           0.0032749,           0.0032749
                   1,            0.086671,            0.018405,            0.088041,          0.00012507,           0.0033833,          8.4629e-05,          1.6988e-05,            0.086167,            0.017757,            0.087111,            0.040505,           0.0065864,           0.0065864
                   2,            0.070908,             0.01966,            0.086913,           0.0028458,             0.31921,            0.004509,            0.001294,            0.077598,             0.01616,            0.085807,            0.010461,           0.0098759,           0.0098759
                   3,            0.063273,            0.018059,            0.085017,           0.0026244,             0.52745,             0.01089,           0.0038632,            0.057949,             0.01562,            0.084933,            0.009901,            0.009901,            0.009901
                   4,            0.057072,            0.015593,            0.084397,             0.55008,            0.076371,            0.022697,           0.0093774,            0.053208,            0.012807,            0.083921,            0.009901,            0.009901,            0.009901
                   5,            0.051521,            0.012258,            0.082586,             0.55694,             0.11238,            0.029188,            0.013681,            0.051337,            0.011954,            0.082869,            0.009868,            0.009868,            0.009868
                   6,            0.050581,            0.011934,            0.082204,               0.549,            0.089943,            0.029606,            0.013708,            0.041096,            0.011548,            0.082562,            0.009835,            0.009835,            0.009835
                   7,            0.046449,            0.011361,             0.08199,             0.62074,            0.073383,            0.035676,            0.020985,            0.042075,            0.010169,            0.082051,            0.009802,            0.009802,            0.009802
                   8,            0.047971,            0.010663,            0.081361,              0.5386,             0.11292,            0.041275,            0.021176,            0.042641,           0.0098317,            0.081575,            0.009769,            0.009769,            0.009769
                   9,            0.046488,            0.010019,            0.080914,             0.60709,            0.084307,            0.042918,            0.025544,            0.040426,           0.0094548,            0.081127,            0.009736,            0.009736,            0.009736
                  10,            0.044346,           0.0091583,            0.080115,             0.60401,            0.081457,            0.045994,            0.026536,            0.041608,           0.0084148,            0.080804,            0.009703,            0.009703,            0.009703
                  11,            0.043238,           0.0090876,            0.080483,             0.62762,            0.087072,            0.045089,            0.028778,            0.037736,           0.0082028,            0.080305,             0.00967,             0.00967,             0.00967
                  12,            0.040898,           0.0086847,            0.079456,             0.58437,            0.095611,            0.050985,            0.031209,            0.038028,           0.0078786,            0.079533,            0.009637,            0.009637,            0.009637
                  13,            0.040641,           0.0086508,            0.079378,             0.61464,             0.10194,            0.053335,            0.035026,            0.033752,           0.0075348,            0.078942,            0.009604,            0.009604,            0.009604
                  14,            0.040192,           0.0086786,            0.078668,             0.61159,            0.094813,            0.052642,             0.03162,            0.033009,           0.0073835,            0.078313,            0.009571,            0.009571,            0.009571
                  15,            0.040401,           0.0080223,            0.077785,             0.56675,             0.12622,            0.061435,            0.034514,            0.036095,           0.0071857,            0.076506,            0.009538,            0.009538,            0.009538
                  16,            0.038892,           0.0077965,            0.076193,             0.59231,              0.1129,             0.05937,            0.035346,            0.034675,           0.0071411,            0.075727,            0.009505,            0.009505,            0.009505
                  17,            0.038597,           0.0078093,            0.074379,             0.54733,             0.12098,              0.0688,            0.040417,            0.033522,           0.0071214,            0.074711,            0.009472,            0.009472,            0.009472
                  18,            0.039241,           0.0077162,            0.075353,             0.54757,             0.10625,            0.073034,            0.044792,            0.031178,           0.0069032,            0.073496,            0.009439,            0.009439,            0.009439
                  19,            0.037715,             0.00749,            0.072033,             0.61772,              0.1207,            0.080945,            0.048867,            0.031609,           0.0068363,            0.072821,            0.009406,            0.009406,            0.009406
                  20,            0.036277,           0.0072228,            0.071819,              0.5979,             0.12411,            0.083995,            0.054312,            0.034261,           0.0065225,            0.071871,            0.009373,            0.009373,            0.009373
                  21,            0.037008,           0.0073538,            0.070825,             0.62027,             0.13539,            0.086555,            0.054015,            0.032261,           0.0064421,            0.071177,             0.00934,             0.00934,             0.00934
                  22,            0.035726,           0.0068103,            0.070989,             0.60408,             0.12795,            0.090038,             0.05587,            0.031979,           0.0066288,            0.070347,            0.009307,            0.009307,            0.009307
                  23,            0.036363,           0.0073279,            0.069601,             0.62473,             0.14302,            0.093556,             0.05607,            0.033625,           0.0063381,            0.069557,            0.009274,            0.009274,            0.009274
                  24,            0.035825,           0.0071857,            0.071083,             0.60751,             0.13155,             0.10071,            0.056624,            0.030073,           0.0064941,            0.069201,            0.009241,            0.009241,            0.009241
                  25,            0.035229,           0.0070247,            0.070539,             0.58034,             0.15194,             0.10601,             0.06302,            0.028404,            0.006393,            0.068124,            0.009208,            0.009208,            0.009208
                  26,             0.03504,            0.006702,            0.067751,             0.63335,             0.15961,             0.11492,            0.072204,             0.02967,           0.0062241,            0.067251,            0.009175,            0.009175,            0.009175
                  27,            0.036032,            0.006958,            0.068413,             0.69141,             0.13883,             0.11779,             0.06919,            0.029575,           0.0062151,            0.066016,            0.009142,            0.009142,            0.009142
                  28,            0.034842,           0.0069461,            0.065031,             0.70784,             0.14586,             0.12358,             0.07756,             0.03231,           0.0061653,            0.064782,            0.009109,            0.009109,            0.009109
                  29,            0.036354,            0.006971,            0.065296,             0.71174,             0.14682,              0.1224,            0.081781,             0.02915,           0.0062516,            0.064564,            0.009076,            0.009076,            0.009076
                  30,             0.03543,           0.0066931,            0.064834,             0.72038,              0.1698,             0.12415,            0.081698,            0.028167,           0.0060416,            0.063187,            0.009043,            0.009043,            0.009043
                  31,            0.035015,           0.0066829,             0.06413,             0.69876,             0.17437,             0.12708,            0.081779,            0.029365,           0.0061665,            0.063058,             0.00901,             0.00901,             0.00901
                  32,            0.034342,           0.0067923,            0.063807,             0.68452,              0.1769,             0.12759,            0.088117,            0.026985,           0.0061196,            0.061866,            0.008977,            0.008977,            0.008977
                  33,            0.035266,           0.0066051,            0.063097,             0.69287,             0.17942,             0.13525,            0.091305,            0.029962,           0.0059051,            0.060909,            0.008944,            0.008944,            0.008944
                  34,            0.034901,           0.0066852,            0.062086,             0.65744,             0.19393,             0.13242,            0.087734,            0.029046,           0.0059463,            0.059875,            0.008911,            0.008911,            0.008911
                  35,            0.033299,           0.0067145,            0.061862,             0.64056,             0.20145,             0.13312,            0.091111,            0.026482,           0.0058752,            0.059117,            0.008878,            0.008878,            0.008878
                  36,            0.034041,            0.006412,            0.060924,             0.63091,              0.2109,              0.1368,            0.092139,            0.027292,           0.0057219,            0.059004,            0.008845,            0.008845,            0.008845
                  37,            0.033206,           0.0063897,             0.05975,             0.62966,             0.21769,             0.13765,            0.096507,            0.027278,           0.0056872,            0.058349,            0.008812,            0.008812,            0.008812
                  38,            0.031711,           0.0063466,            0.059597,             0.66161,             0.21716,             0.14081,            0.097091,            0.026174,           0.0056671,            0.058182,            0.008779,            0.008779,            0.008779
                  39,            0.032981,            0.006204,            0.059208,             0.63666,              0.2614,             0.14528,             0.10221,            0.028101,           0.0055687,            0.057682,            0.008746,            0.008746,            0.008746
                  40,            0.032453,           0.0065917,            0.059373,             0.65042,             0.21927,             0.14225,             0.09859,            0.025297,           0.0055701,            0.057783,            0.008713,            0.008713,            0.008713
                  41,            0.031844,           0.0060005,             0.05866,             0.63621,             0.29853,             0.14408,             0.10057,            0.030811,           0.0057044,            0.057146,             0.00868,             0.00868,             0.00868
                  42,             0.03414,           0.0064442,            0.059355,             0.64318,             0.23411,             0.13748,            0.092515,            0.027059,           0.0058516,            0.057224,            0.008647,            0.008647,            0.008647
                  43,            0.030886,            0.006561,            0.058603,             0.66253,             0.20109,             0.14173,            0.094253,            0.026837,           0.0057006,            0.056941,            0.008614,            0.008614,            0.008614
                  44,            0.031695,            0.006424,            0.055464,             0.64234,             0.25275,             0.14602,             0.10103,            0.025693,           0.0056423,            0.056739,            0.008581,            0.008581,            0.008581
                  45,            0.031826,           0.0062601,            0.060392,             0.64979,             0.29407,             0.14854,             0.10172,             0.02722,           0.0057323,            0.056491,            0.008548,            0.008548,            0.008548
                  46,            0.031338,           0.0061031,            0.057493,             0.66743,             0.25844,             0.14836,            0.095414,            0.025781,           0.0055086,            0.056159,            0.008515,            0.008515,            0.008515
                  47,            0.032368,           0.0064542,            0.056329,             0.64503,             0.27344,             0.15544,             0.10589,            0.026444,           0.0055885,             0.05626,            0.008482,            0.008482,            0.008482
