               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027372,           0.0069622,            0.047379,             0.85713,              0.3285,             0.40375,             0.30714,            0.021474,           0.0063692,            0.043446,            0.008845,            0.008845,            0.008845
                  37,            0.027199,           0.0068048,            0.045446,             0.90669,             0.32484,             0.41762,             0.29831,            0.021515,           0.0064726,            0.042119,            0.008812,            0.008812,            0.008812
                  38,            0.026684,           0.0067087,            0.044454,             0.86719,             0.33151,             0.42783,              0.3306,            0.022819,           0.0063712,            0.040948,            0.008779,            0.008779,            0.008779
                  39,            0.026517,           0.0068007,            0.042879,             0.86382,             0.36018,               0.429,             0.31525,            0.021006,           0.0061587,            0.040266,            0.008746,            0.008746,            0.008746
                  40,             0.02629,           0.0066095,            0.042158,             0.84779,             0.36014,              0.4324,              0.3218,            0.021121,           0.0062453,            0.039306,            0.008713,            0.008713,            0.008713
                  41,            0.026065,            0.006759,            0.040213,             0.92567,             0.33922,             0.43668,             0.31588,            0.021669,           0.0062998,             0.03855,             0.00868,             0.00868,             0.00868
                  42,             0.02572,            0.006511,            0.039625,             0.87811,             0.35813,             0.44099,             0.33093,            0.019697,           0.0061492,            0.037651,            0.008647,            0.008647,            0.008647
                  43,            0.025398,           0.0065799,            0.040444,              0.9038,             0.35258,             0.45586,             0.33824,            0.021324,           0.0063323,            0.036843,            0.008614,            0.008614,            0.008614
                  44,            0.026197,           0.0066032,            0.038246,             0.90645,             0.35676,             0.46514,             0.36557,            0.020216,           0.0061294,            0.035905,            0.008581,            0.008581,            0.008581
                  45,             0.02498,            0.006706,            0.037094,             0.91017,             0.36959,             0.47553,             0.35686,            0.020788,           0.0060975,             0.03433,            0.008548,            0.008548,            0.008548
                  46,            0.025446,            0.006684,            0.037201,             0.94008,             0.36878,             0.48515,             0.36751,             0.02162,           0.0063481,            0.033922,            0.008515,            0.008515,            0.008515
                  47,            0.025198,           0.0065354,            0.037096,             0.82138,             0.40653,             0.48805,             0.36151,            0.020608,           0.0059696,            0.032845,            0.008482,            0.008482,            0.008482
                  48,            0.026235,           0.0066809,            0.036162,             0.83924,              0.4199,             0.49595,             0.35114,            0.022902,           0.0063169,            0.032587,            0.008449,            0.008449,            0.008449
                  49,            0.025071,            0.006333,            0.035335,             0.90377,             0.39594,             0.50125,             0.39029,             0.01972,           0.0061437,            0.031771,            0.008416,            0.008416,            0.008416
                  50,            0.025476,           0.0066294,            0.034563,             0.79622,             0.42809,             0.51663,             0.39628,            0.020819,           0.0061715,            0.030551,            0.008383,            0.008383,            0.008383
                  51,            0.025381,           0.0066137,            0.034236,             0.86322,              0.4228,             0.51524,             0.40064,            0.019066,           0.0059466,            0.030277,             0.00835,             0.00835,             0.00835
                  52,            0.025767,           0.0068905,            0.032899,             0.90169,              0.4117,             0.52127,             0.41234,            0.018943,           0.0059894,             0.02934,            0.008317,            0.008317,            0.008317
                  53,            0.025857,           0.0064057,            0.033542,              0.8674,              0.4276,             0.52404,             0.40704,            0.020741,           0.0060314,            0.028922,            0.008284,            0.008284,            0.008284
                  54,            0.025869,           0.0063471,            0.032922,             0.82121,             0.46114,             0.52874,             0.40108,            0.021396,           0.0061896,            0.028255,            0.008251,            0.008251,            0.008251
                  55,            0.024914,           0.0061242,             0.03198,              0.8638,             0.43063,             0.53207,             0.41335,            0.021264,           0.0060535,            0.027681,            0.008218,            0.008218,            0.008218
                  56,            0.024725,           0.0063843,            0.031111,             0.82686,             0.46275,             0.53721,             0.41583,            0.020212,           0.0059731,            0.026904,            0.008185,            0.008185,            0.008185
                  57,            0.025107,            0.006423,            0.029117,             0.82651,             0.46343,             0.54142,             0.41721,            0.021293,           0.0059759,            0.025553,            0.008152,            0.008152,            0.008152
                  58,            0.024679,           0.0065523,            0.029402,             0.89341,             0.44773,             0.54408,             0.41069,            0.019436,           0.0060445,            0.025167,            0.008119,            0.008119,            0.008119
                  59,            0.025075,           0.0064626,             0.02901,             0.83101,             0.43488,             0.53119,             0.40405,            0.022069,           0.0061603,            0.025742,            0.008086,            0.008086,            0.008086
                  60,            0.025981,           0.0068533,            0.027848,             0.78228,              0.5067,             0.54332,             0.39798,            0.020505,           0.0062003,             0.02462,            0.008053,            0.008053,            0.008053
                  61,            0.024953,            0.006701,            0.028102,             0.84038,             0.45514,             0.55197,             0.42814,            0.019919,           0.0058685,               0.024,             0.00802,             0.00802,             0.00802
                  62,            0.024683,           0.0064509,            0.026626,             0.84052,             0.46534,              0.5506,             0.43279,            0.019618,           0.0059674,            0.024169,            0.007987,            0.007987,            0.007987
                  63,             0.02432,           0.0063235,             0.02785,             0.80421,             0.50383,             0.55684,              0.4311,            0.019153,           0.0058654,            0.024064,            0.007954,            0.007954,            0.007954
                  64,            0.024306,           0.0063073,            0.028146,             0.83224,             0.48745,              0.5584,             0.43775,            0.019751,           0.0059275,            0.023646,            0.007921,            0.007921,            0.007921
                  65,            0.024261,           0.0060849,             0.02825,             0.85297,             0.49592,             0.56975,             0.45363,            0.019348,           0.0059571,            0.022659,            0.007888,            0.007888,            0.007888
                  66,             0.02508,           0.0066453,            0.026005,             0.83367,             0.49958,             0.58312,             0.45507,            0.020549,           0.0060381,            0.022273,            0.007855,            0.007855,            0.007855
                  67,            0.025244,           0.0063697,            0.025035,             0.86406,             0.52318,             0.58526,             0.45332,             0.01872,           0.0058345,            0.022437,            0.007822,            0.007822,            0.007822
                  68,            0.024945,           0.0067811,             0.02503,             0.84858,             0.52958,             0.58996,              0.4694,            0.018488,           0.0058914,            0.021507,            0.007789,            0.007789,            0.007789
                  69,            0.023923,           0.0061309,            0.024858,             0.88677,             0.50919,             0.59405,             0.48024,            0.017836,           0.0058042,            0.020964,            0.007756,            0.007756,            0.007756
                  70,            0.023979,           0.0063387,             0.02441,              0.8109,              0.5325,             0.57859,             0.45176,            0.019782,           0.0057241,            0.021436,            0.007723,            0.007723,            0.007723
                  71,            0.024627,           0.0061756,            0.025324,             0.86428,              0.5297,             0.59773,             0.46231,            0.020687,           0.0060542,            0.020622,             0.00769,             0.00769,             0.00769
                  72,            0.024472,           0.0065258,            0.024234,             0.91856,              0.4977,             0.60032,             0.48295,            0.018972,           0.0057548,             0.02085,            0.007657,            0.007657,            0.007657
                  73,            0.024063,              0.0065,            0.023723,             0.88079,             0.51841,              0.6039,             0.48484,            0.018788,           0.0058379,            0.019821,            0.007624,            0.007624,            0.007624
                  74,            0.024013,           0.0063652,            0.023318,             0.83058,             0.56007,             0.60477,             0.47335,            0.019176,           0.0057539,            0.019777,            0.007591,            0.007591,            0.007591
                  75,            0.024455,           0.0063426,            0.023433,             0.93124,             0.50572,             0.60439,             0.47505,            0.018585,           0.0057486,            0.019598,            0.007558,            0.007558,            0.007558
                  76,            0.024328,           0.0064694,            0.023949,             0.91669,             0.50316,             0.60573,             0.49092,            0.017746,           0.0056677,            0.019713,            0.007525,            0.007525,            0.007525
                  77,            0.023739,           0.0062268,            0.022192,             0.81524,             0.56414,             0.61115,             0.49046,            0.017929,           0.0057413,            0.019917,            0.007492,            0.007492,            0.007492
                  78,             0.02387,           0.0061971,            0.022732,             0.84596,              0.5397,             0.60583,              0.4789,            0.019677,            0.005729,             0.01926,            0.007459,            0.007459,            0.007459
                  79,            0.023776,           0.0062961,            0.024466,             0.71769,             0.60124,             0.61781,             0.49827,             0.01908,           0.0059855,            0.019283,            0.007426,            0.007426,            0.007426
                  80,            0.023457,           0.0064261,            0.022209,             0.93122,             0.51264,             0.62481,             0.49768,            0.018656,           0.0055634,            0.018159,            0.007393,            0.007393,            0.007393
                  81,            0.024349,           0.0064025,             0.02214,             0.90935,             0.52385,              0.6236,             0.50136,            0.018061,            0.005682,            0.018146,             0.00736,             0.00736,             0.00736
                  82,            0.022697,           0.0061243,            0.020969,             0.93372,             0.53587,             0.63258,             0.50563,            0.018112,           0.0056503,            0.017478,            0.007327,            0.007327,            0.007327
                  83,            0.023614,            0.006248,            0.021437,             0.88393,             0.54218,             0.62248,             0.48586,            0.018122,           0.0056348,             0.01747,            0.007294,            0.007294,            0.007294
                  84,            0.023387,           0.0058159,            0.020858,             0.89253,              0.5343,             0.62994,              0.5014,            0.018177,           0.0056231,            0.017083,            0.007261,            0.007261,            0.007261
                  85,            0.023988,           0.0060959,            0.020613,             0.95109,             0.52438,             0.63104,             0.52078,            0.017661,           0.0057759,            0.017233,            0.007228,            0.007228,            0.007228
                  86,            0.023337,           0.0060882,            0.019213,             0.93277,             0.52812,             0.63302,             0.49582,            0.019696,           0.0057986,            0.016448,            0.007195,            0.007195,            0.007195
                  87,            0.023661,           0.0059613,            0.019595,              0.7157,             0.66316,             0.64093,             0.52731,            0.017661,           0.0056647,            0.016204,            0.007162,            0.007162,            0.007162
                  88,            0.022705,           0.0060505,            0.018999,             0.79749,              0.6247,             0.65371,             0.52514,            0.017803,           0.0056145,            0.016074,            0.007129,            0.007129,            0.007129
                  89,            0.022786,           0.0058832,            0.018467,             0.93146,             0.54681,               0.637,             0.50921,            0.017726,           0.0056598,            0.016092,            0.007096,            0.007096,            0.007096
                  90,            0.023586,            0.006004,            0.018854,             0.77872,             0.61057,              0.6387,             0.50986,            0.018006,           0.0055849,            0.015622,            0.007063,            0.007063,            0.007063
                  91,            0.023589,            0.005965,              0.0194,              0.7462,             0.64728,             0.64229,             0.51552,            0.017889,           0.0055255,            0.015623,             0.00703,             0.00703,             0.00703
                  92,            0.022278,           0.0059455,            0.019006,             0.76564,             0.63592,             0.65073,             0.53258,            0.016917,             0.00539,            0.015281,            0.006997,            0.006997,            0.006997
                  93,            0.022501,           0.0059989,            0.018621,             0.76574,              0.6466,             0.65976,             0.52944,            0.017557,           0.0056401,            0.014657,            0.006964,            0.006964,            0.006964
                  94,            0.021989,           0.0058225,            0.017017,             0.81305,             0.63725,             0.66328,              0.5434,             0.01874,           0.0055983,            0.014515,            0.006931,            0.006931,            0.006931
